Group 1 ,x,xerr,center x,y,yerr,center y,time,R sun,latitude,lat err,longitude,long err,day,Time (s),Time (day),day
5,,,5.13E+02,,,5.12E+02,20:27:30,4.98E+02,#NUM!,#DIV/0!,#NUM!,#DIV/0!,6,499920,5.786111111,
5,,,5.13E+02,,,5.12E+02,20:27:30,4.98E+02,#NUM!,#DIV/0!,#NUM!,#DIV/0!,6,499920,5.786111111,
6,,,5.13E+02,,,5.12E+02,23:59:30,4.98E+02,#NUM!,#DIV/0!,#NUM!,#DIV/0!,7,599040,6.933333333,
7,,,5.13E+02,,,5.12E+02,06:23:30,4.98E+02,#NUM!,#DIV/0!,#NUM!,#DIV/0!,9,708480,8.2,
8,,,5.13E+02,,,5.12E+02,11:11:30,4.98E+02,#NUM!,#DIV/0!,#NUM!,#DIV/0!,10,812160,9.4,
9,58,2,5.13E+02,480,2,5.12E+02,19:11:30,4.98E+02,-0.06430133,0.004166667,-1.152185769,0.034482759,11,927360,10.73333333,
10,129,5,5.13E+02,493,8,5.12E+02,23:59:30,4.97E+02,-0.038238694,0.016227181,-0.8829826,0.03875969,12,1031040,11.93333333,
11,235,6,5.13E+02,503,8,5.12E+02,06:23:30,4.97E+02,-0.018109642,0.015904573,-0.593608854,0.025531915,14,1140480,13.2,
12,358,7,5.13E+02,509,8,5.12E+02,11:11:30,4.97E+02,-0.006036254,0.015717092,-0.317161853,0.019553073,15,1244160,14.4,
13,500,7,5.13E+02,513,8,5.12E+02,17:35:30,4.97E+02,0.002012074,0.015594542,-0.026159925,0.014,16,1353600,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Group 6,x,xerr,center x,y,yerr,center y,time,R sun,latitude,lat err,longitude,long err,day,Time (s),Time (day),day
1,672.5,6.87615,5.12E+02,500.2,6.5012,5.12E+02,01:35:30,4.98E+02,-0.024077889,0.012997201,0.327380229,0.010224758,1,0,0,86400
2,797.5,6.5108,5.13E+02,497.8,6.25125,5.12E+02,06:23:30,4.98E+02,-0.02887973,0.012557754,0.609417886,0.008164013,2,103680,1.2,
3,925.5,3.25,5.13E+02,490.2,6.6262,5.12E+02,20:43:30,4.98E+02,-0.044166287,0.01351734,0.977423569,0.003511615,3,241680,2.797222222,
4,998,1.625,5.13E+02,482.2,4.25,5.12E+02,11:11:30,4.98E+02,-0.060265573,0.00881377,1.347083094,0.001628257,5,380160,4.4,
5,,,5.13E+02,,,5.12E+02,20:27:30,4.98E+02,#NUM!,#DIV/0!,#NUM!,#DIV/0!,6,499920,5.786111111,
6,,,5.13E+02,,,5.12E+02,23:59:30,4.98E+02,#NUM!,#DIV/0!,#NUM!,#DIV/0!,7,599040,6.933333333,
7,,,5.13E+02,,,5.12E+02,06:23:30,4.98E+02,#NUM!,#DIV/0!,#NUM!,#DIV/0!,9,708480,8.2,
8,,,5.13E+02,,,5.12E+02,11:11:30,4.98E+02,#NUM!,#DIV/0!,#NUM!,#DIV/0!,10,812160,9.4,
9,,,5.13E+02,,,5.12E+02,19:11:30,4.98E+02,#NUM!,#DIV/0!,#NUM!,#DIV/0!,11,927360,10.73333333,
10,,,5.13E+02,,,5.12E+02,23:59:30,4.97E+02,#NUM!,#DIV/0!,#NUM!,#DIV/0!,12,1031040,11.93333333,
11,,,5.13E+02,,,5.12E+02,06:23:30,4.97E+02,#NUM!,#DIV/0!,#NUM!,#DIV/0!,14,1140480,13.2,
12,,,5.13E+02,,,5.12E+02,11:11:30,4.97E+02,#NUM!,#DIV/0!,#NUM!,#DIV/0!,15,1244160,14.4,
